LandType,Price,Neighborhood,Building,Address,Sold Price,Sold Date,Beds,Bath,Living Sq Ft,Parking,Lanai,Pets,Floor,Year,List Date,Days,Condition,Tax,Maint. Fee,Elementary,Junior High,High,Flood Zone,View,Frontage,Flooring
FS,"$715,000 ",Hahaione-lower,Plaza Hawaii Kai,6770 Hawaii Kai Drive PH1509,"$725,000 ",11/14/2014,2,2,"1,402",2,241,Yes,15,1974,9/15/2014,44,Above Average,$182 ,$900 ,Hahaione,Niu Valley,Kaiser,Zone D,"Diamond Head,Marina/Canal,Mountain,Ocean,Sunrise,Sunset",,"Marble/Granite,W/W Carpet"
FS,"$925,000 ",West Marina,Koko Isle,109 Koko Isle Circle 2202,"$900,000 ",11/14/2014,3,2.1,"1,700",2,863,Yes,2,1968,9/15/2014,37,"Above Average,Average",$188 ,$780 ,Koko Head,Niu Valley,Kaiser,Zone AE,"Marina/Canal,Mountain,Sunset","Marina,Waterfront","Ceramic Tile,Laminate,W/W Carpet"
FS,"$938,000 ",West Marina,Peninsula At Hawaii ,580 Lunalilo Home Road CO-B356,"$945,000 ",11/14/2014,3,2.1,"1,582",2,0,Yes,0,2004,9/12/2014,32,Excellent,$237 ,$552 ,Koko Head,Niu Valley,Kaiser,Zone AE,"Marina/Canal,Mountain,Sunrise",Marina,"Laminate,Vinyl,W/W Carpet"
FS,"$415,000 ",Hahaione-lower,Mauna Luan,501 Hahaione Street 3G,"$400,000 ",11/12/2014,1,1,804,2,0,No,3,1975,9/22/2014,49,Above Average,$83 ,$493 ,Hahaione,Niu Valley,Kaiser,Zone D,Garden,Other,"Ceramic Tile,W/W Carpet"
FS,"$650,000 ",West Marina,Mt Terrace,250 Kawaihae Street 15C,"$605,000 ",11/12/2014,2,2,"1,661",2,0,No,17,1974,4/22/2014,204,Above Average,$157 ,"$1,225 ",Hahaione,Niu Valley,Kaiser,Zone AE,"City,Coastline,Mountain,Ocean,Sunset",,"Ceramic Tile,W/W Carpet"
FS,"$788,000 ",West Marina,Kalele Kai,1 Keahole Place 1410,"$750,000 ",11/12/2014,2,2,"1,424",2,263,Yes,4,1993,8/1/2014,105,Above Average,$160 ,$746 ,Hahaione,Niu Valley,Kaiser,Zone D,Garden,,"Ceramic Tile,Other"
FS,"$709,000 ",West Marina,Moana Kai,7012 Hawaii Kai Drive 107,"$709,000 ",11/10/2014,3,2.1,"1,652",2,39,Yes,2,2005,9/8/2014,52,Excellent,$273 ,$405 ,Hahaione,Niu Valley,Kaiser,Zone D,None,Other,"Ceramic Tile,Laminate,Vinyl"
FS,"$525,000 ",Hahaione-lower,Mariners Village 2,575 Hahaione Street D204,"$525,000 ",11/7/2014,3,2,"1,305",2,119,Yes,2,1972,8/27/2014,10,Excellent,$105 ,$717 ,,,,Zone D,Mountain,Other,"Ceramic Tile,Hardwood,W/W Carpet"
FS,"$535,000 ",Hahaione-lower,Mauna Luan,521 Hahaione Street 2-13J,"$535,000 ",11/3/2014,2,2,"1,211",2,0,No,13,1975,10/1/2014,33,Above Average,$148 ,$697 ,Hahaione,Niu Valley,Kaiser,Zone D,"Garden,Marina/Canal,Mountain,Ocean,Sunset",Other,"Ceramic Tile,W/W Carpet"
LH,"$249,000 ",West Marina,Koko Isle,123 Koko Isle Circle 3302,"$210,000 ",10/31/2014,3,2.1,"1,400",2,312,Yes,1,1968,8/20/2014,72,"Average,Fair",$223 ,$780 ,,,,Zone AE,Marina/Canal,Marina,"Vinyl,W/W Carpet"
FS,"$420,000 ",West Marina,Lalea At Hawaii Kai ,7128 Hawaii Kai Drive 98,"$420,000 ",10/31/2014,1,1,751,2,0,No,2,1997,8/25/2014,56,Excellent,$75 ,$265 ,Hahaione,Niu Valley,Kaiser,Zone D,None,,W/W Carpet
FS,"$575,000 ",Mariners Valley,Mariners Village 3,1135 Wainiha Street A,"$607,500 ",10/31/2014,4,2,"1,329",2,400,Yes,1,1972,9/9/2014,17,"Above Average,Excellent",$167 ,$457 ,Kamiloiki,Niu Valley,Kaiser,Zone D,Mountain,,"Ceramic Tile,Laminate,W/W Carpet"
FS,"$635,000 ",West Marina,Colony At The Penins,520 Lunalilo Home Road 8419,"$625,000 ",10/30/2014,2,2,"1,345",2,87,Yes,4,2004,8/6/2014,85,Excellent,$163 ,$746 ,Koko Head,Niu Valley,Kaiser,Zone D,Diamond Head,,"Ceramic Tile,W/W Carpet"
