LandType,Price,Neighborhood,Building,Address,Sold Price,Sold Date,Beds,Bath,Living Sq Ft,Parking,Lanai,Pets,Floor,Year,List Date,Days,Condition,Tax,Maint. Fee,Elementary,Junior High,High,Flood Zone,View,Frontage,Flooring
FS,"$699,000 ",Mariners Valley,Mariners Village 3,1126 Wainiha Street A,"$712,000 ",7/11/2019,4,2.1,"1,549",2,120,Yes,1,1972,4/1/2019,11,Excellent,$163 ,$456 ,Kamiloiki,Niu Valley,Kaiser,Zone D,"Mountain,Sunrise",Other,"Laminate,W/W Carpet"
FS,"$769,000 ",West Marina,Kalele Kai,1 Keahole Place 1412,"$760,000 ",7/11/2019,2,2,"1,424",2,263,Yes,4,1993,6/6/2019,6,"Above Average,Excellent",$177 ,$864 ,,,,Zone AE,"Marina/Canal,Mountain,Sunrise",Marina,"Ceramic Tile,Hardwood"
FS,"$569,900 ",Hahaione-lower,Mauna Luan,511 Hahaione Street 1/19C,"$569,900 ",7/5/2019,2,2,"1,303",2,0,No,19,1975,3/13/2019,65,Excellent,$167 ,$815 ,Hahaione,Niu Valley,Kaiser,Zone D,"Coastline,Garden,Marina/Canal,Mountain,Ocean,Sunset",,"Ceramic Tile,Laminate,Other,W/W Carpet"
FS,"$705,000 ",West Marina,Colony At The Penins,520 Lunalilo Home Road 8426,"$690,000 ",7/5/2019,2,2,"1,287",2,109,Yes,4,2004,2/18/2019,98,Excellent,$164 ,$800 ,Koko Head,Niu Valley,Kaiser,Zone AE,"Marina/Canal,Mountain",Other,"Ceramic Tile,Vinyl,W/W Carpet"
FS,"$895,000 ",West Marina,Colony Marina,6218 Keokea Place C101,"$860,000 ",7/5/2019,4,3,"1,914",2,0,Yes,2,1969,3/27/2019,67,Average,$256 ,$740 ,Hahaione,Niu Valley,Kaiser,Zone AE,"Marina/Canal,Mountain","Marina,Waterfront","Ceramic Tile,Hardwood,Laminate,W/W Carpet"
FS,"$1,135,000 ",West Marina,Koko Isle,911 Koko Isle Circle 911,"$1,135,000 ",7/3/2019,3,2.1,"1,539",2,0,Yes,1,1968,3/11/2019,94,"Above Average,Excellent",$237 ,$747 ,,,,Zone AE,"Marina/Canal,Mountain",Marina,"Other,Vinyl"
FS,"$848,800 ",West Marina,Moana Kai,,"$850,000 ",7/1/2019,3,2.1,"1,550",2,0,Yes,2,2005,4/28/2019,18,Excellent,$0 ,$428 ,Hahaione,Niu Valley,Kaiser,Zone D,None,Other,"Ceramic Tile,W/W Carpet"
LH,"$485,000 ",West Marina,Mawaena Kai 1-2-3,7007 Hawaii Kai Drive A16,"$485,000 ",6/28/2019,3,2,"1,296",3,0,Yes,1,1988,4/30/2019,13,Average,$238 ,$650 ,,,,Zone AE,"Marina/Canal,Mountain","Marina,Waterfront","Ceramic Tile,Hardwood"
FS,"$519,900 ",Hahaione-lower,Mariners Village 2,575 Hahaione Street D103,"$517,500 ",6/28/2019,2,2,"1,095",2,210,Yes,1,1972,4/29/2019,21,Above Average,$144 ,$789 ,Hahaione,Niu Valley,Kaiser,Zone D,None,,"Ceramic Tile,Laminate"
FS,"$655,000 ",West Marina,Kawaihae Crescent We,370 Kawaihae Street 370G,"$640,000 ",6/28/2019,3,2.1,"1,530",2,0,Yes,2,1973,4/20/2019,22,Average,$173 ,$600 ,Hahaione,Niu Valley,Kaiser,Zone D,None,,"Ceramic Tile,W/W Carpet"
FS,"$599,000 ",Hahaione-lower,Mauna Luan,511 Hahaione Street 1/16D,"$567,000 ",6/27/2019,2,2,"1,303",2,0,No,16,1975,4/17/2019,13,Above Average,$182 ,$815 ,Hahaione,Niu Valley,Kaiser,Zone D,"Coastline,Marina/Canal,Mountain,Ocean",Other,"Ceramic Tile,W/W Carpet"
FS,"$749,000 ",West Marina,Gateway Peninsula,211 Kawaihae Street D4,"$735,000 ",6/25/2019,3,2.1,"1,752",2,160,Yes,1,1972,2/6/2019,85,Above Average,$207 ,"$1,025 ",Hahaione,Niu Valley,Kaiser,Zone AE,"Marina/Canal,Mountain",Marina,"Laminate,W/W Carpet"
FS,"$839,000 ",West Marina,Koko Isle,710 Koko Isle Circle 2104,"$835,900 ",6/25/2019,3,2,"1,398",2,"1,200",Yes,1,1968,2/27/2019,50,Above Average,$213 ,$747 ,Koko Head,Niu Valley,Kaiser,Zone AE,"Garden,Mountain",Other,"Ceramic Tile,Laminate"
FS,"$555,000 ",Hahaione-lower,Commodore,555 Hahaione Street 10H,"$540,000 ",6/24/2019,2,2,"1,490",2,77,Yes,10,1982,4/26/2019,19,Average,$125 ,"$1,354 ",Hahaione,Niu Valley,Kaiser,Zone D,"City,Garden,Marina/Canal,Mountain,Ocean",,"Ceramic Tile,W/W Carpet"
FS,"$599,000 ",West Marina,Lalea At Hawaii Kai ,7168 Hawaii Kai Drive 169,"$605,000 ",6/24/2019,2,1,850,2,0,Yes,1,1998,4/5/2019,38,Above Average,$154 ,$334 ,,,,Zone D,Mountain,Other,"Ceramic Tile,W/W Carpet"
FS,"$729,000 ",West Marina,Lalea At Hawaii Kai ,7130 Hawaii Kai Drive 119,"$739,000 ",6/24/2019,3,2.1,"1,075",2,250,No,2,1997,4/10/2019,30,Excellent,$208 ,$422 ,Hahaione,Niu Valley,Kaiser,Zone D,"Garden,Mountain",,"Other,W/W Carpet"
FS,"$780,000 ",West Marina,Hawaii Kai Cp Lot 8 ,475 Kawaihae Street A,"$780,000 ",6/24/2019,3,2,"1,350",4,306,No,0,1963,10/1/2018,21,Above Average,$189 ,$0 ,Hahaione,,Kaiser,Zone AE,"Marina/Canal,Mountain","Marina,Stream/Canal,Waterfront","Ceramic Tile,W/W Carpet"
FS,"$749,000 ",West Marina,Kalele Kai,001 Keahole Place 1312,"$749,000 ",6/21/2019,2,2,"1,424",2,263,Yes,3,1993,4/18/2019,17,Average,$232 ,$864 ,,,,Zone AE,Garden,Marina,Marble/Granite
FS,"$895,000 ",West Marina,Peninsula At Hawaii ,580 Lunalilo Home Road 339,"$876,500 ",6/21/2019,3,2.1,"1,648",2,0,Yes,2,2005,3/7/2019,82,Excellent,$239 ,$596 ,Koko Head,Niu Valley,Kaiser,Zone AE,"Marina/Canal,Mountain",Other,"Ceramic Tile,Hardwood,W/W Carpet"
FS,"$998,000 ",West Marina,Kuapa Isle,443 Opihikao Place 171,"$940,000 ",6/20/2019,3,3,"1,557",2,380,Yes,1,1970,1/9/2019,132,Excellent,$56 ,$665 ,,,,Zone AE,"Marina/Canal,Sunrise","Marina,Waterfront","Ceramic Tile,Laminate,W/W Carpet"
FS,"$565,000 ",Hahaione-lower,Plaza Hawaii Kai,6770 Hawaii Kai Drive 806,"$565,000 ",6/14/2019,2,2,"1,030",2,89,Yes,8,1974,1/4/2019,110,Average,$152 ,$864 ,Hahaione,Niu Valley,Kaiser,Zone D,"Coastline,Marina/Canal,Mountain,Ocean,Sunset",,Ceramic Tile
FS,"$679,000 ",Mariners Valley,Mariners Village 3,1100 Wainiha Street A,"$685,000 ",6/13/2019,3,2.1,"1,356",2,220,Yes,1,1971,4/30/2019,7,Excellent,$174 ,$457 ,Kamiloiki,Niu Valley,Kaiser,Zone D,"Coastline,Mountain,Sunrise",,"Ceramic Tile,Laminate,W/W Carpet"
FS,"$699,000 ",West Marina,Koko Isle,208 Koko Isle Circle 1704,"$685,000 ",6/13/2019,2,1.1,"1,098",2,0,Yes,1,1968,4/30/2019,0,Fair,$185 ,$786 ,,,,Zone AE,"Garden,Mountain",,"Ceramic Tile,Vinyl,W/W Carpet"
FS,"$779,000 ",West Marina,Hale Ka Lae,7000 Hawaii Kai Drive PH210,"$794,510 ",6/4/2019,3,2,"1,145",2,0,Yes,10,2016,5/20/2019,15,Excellent,$0 ,$641 ,Hahaione,Niu Valley,Kaiser,Zone D,"None,Coastline,Marina/Canal,Mountain,Sunrise,Sunset",,"Vinyl,W/W Carpet"
FS,"$540,000 ",Hahaione-lower,Heritage House Hawai,6710 Hawaii Kai Drive 1604,"$525,000 ",5/31/2019,2,2,935,2,105,No,16,1974,12/22/2018,94,Fair,$154 ,$676 ,Hahaione,Niu Valley,Kaiser,Zone D,"Marina/Canal,Ocean",Other,"Ceramic Tile,W/W Carpet"
FS,"$569,000 ",Hahaione-lower,Plaza Hawaii Kai,6770 Hawaii Kai Drive 1,"$569,000 ",5/31/2019,2,2,"1,045",2,424,Yes,1,1974,3/13/2019,37,Excellent,$124 ,$877 ,,,,Zone D,"Garden,Mountain",,"Ceramic Tile,Other"
FS,"$755,000 ",West Marina,Hale Ka Lae,7000 Hawaii Kai Drive 3914,"$773,000 ",5/31/2019,3,2,"1,145",2,0,Yes,9,2016,5/20/2019,11,Excellent,$0 ,$641 ,,,,Zone D,"Garden,Marina/Canal,Ocean,Sunrise,Sunset",,"Vinyl,W/W Carpet"
FS,"$825,000 ",West Marina,Peninsula At Hawaii ,520 Lunalilo Home Road V5403,"$825,000 ",5/31/2019,3,2.1,"1,588",2,256,Yes,1,2003,4/2/2019,8,Above Average,$252 ,$775 ,Kamiloiki,Niu Valley,Kaiser,Zone AE,None,Other,"Laminate,Vinyl,W/W Carpet"
FS,"$1,388,000 ",West Marina,Koko Isle,409 Koko Isle Circle 905,"$1,250,000 ",5/31/2019,3,2.1,"1,947",2,480,Yes,2,1968,4/30/2019,21,Excellent,$497 ,$747 ,Koko Head,Niu Valley,Kaiser,Zone AE,"Diamond Head,Marina/Canal,Mountain,Sunset",Marina,Laminate
FS,"$578,000 ",West Marina,Hale Ka Lae,7000 Hawaii Kai Drive 3505,"$578,000 ",5/30/2019,2,2,783,2,0,Yes,5,2016,5/1/2019,4,Excellent,$0 ,$438 ,Hahaione,Niu Valley,Kaiser,Zone D,None,"Other,Preservation","Vinyl,W/W Carpet"
FS,"$1,100,000 ",West Marina,Esplanade,500 Lunalilo Home Road PH17B,"$1,041,600 ",5/30/2019,3,3,"1,657",3,259,Yes,7,1973,4/12/2019,4,Excellent,$275 ,"$1,460 ",Koko Head,Niu Valley,Kaiser,Zone AE,"Coastline,Diamond Head,Mountain,Ocean,Sunrise,Sunset",Marina,"Marble/Granite,Vinyl,W/W Carpet"
FS,"$495,000 ",Hahaione-lower,Mauna Luan,521 Hahaione Street 2/6F,"$485,000 ",5/29/2019,1,1,833,2,0,No,6,1975,2/12/2019,68,Excellent,$94 ,$553 ,Hahaione,Niu Valley,Kaiser,Zone D,"Coastline,Garden,Mountain,Ocean,Sunset",,"Ceramic Tile,Laminate"
FS,"$799,000 ",West Marina,Moana Kai,7012 Hawaii Kai Drive 106,"$790,000 ",5/29/2019,3,2.1,"1,725",2,42,Yes,2,2005,11/1/2018,154,Excellent,$201 ,$430 ,Hahaione,Niu Valley,Kaiser,Zone D,Mountain,Other,"Laminate,Other,Vinyl,W/W Carpet"
FS,"$569,000 ",Hahaione-lower,Heritage House Hawai,6710 Hawaii Kai Drive 1408,"$572,000 ",5/28/2019,2,2,935,2,105,No,14,1974,4/9/2019,6,Above Average,$130 ,$677 ,Hahaione,Niu Valley,Kaiser,Zone D,"Coastline,Marina/Canal,Mountain,Ocean",,"Ceramic Tile,Vinyl,W/W Carpet"
FS,"$670,000 ",West Marina,Hale Ka Lae,7000 Hawaii Kai Drive 3117,"$670,000 ",5/23/2019,3,2,"1,098",2,0,Yes,1,2016,3/3/2019,5,Excellent,$0 ,$615 ,Hahaione,Niu Valley,Kaiser,Zone X,Garden,Preservation,"Other,W/W Carpet"
FS,"$785,900 ",West Marina,Hale Ka Lae,,"$785,900 ",5/23/2019,3,2,"1,112",2,0,Yes,9,2016,5/1/2019,4,Excellent,$0 ,$610 ,Hahaione,Niu Valley,Kaiser,Zone D,Marina/Canal,Preservation,"Vinyl,W/W Carpet"
FS,"$830,000 ",West Marina,Koko Isle,216 Koko Isle Circle 1708,"$830,000 ",5/22/2019,3,2.1,"1,958",2,0,Yes,1,1968,1/7/2019,84,Above Average,$268 ,$786 ,Koko Head,Niu Valley,Kaiser,Zone X,Garden,,"Ceramic Tile,Marble/Granite,Other"
FS,"$668,000 ",West Marina,Lalea At Hawaii Kai ,7146 Hawaii Kai Drive 145,"$668,000 ",5/20/2019,2,2,947,2,0,No,2,1997,4/8/2019,11,"Above Average,Excellent",$155 ,$372 ,Hahaione,Niu Valley,Kaiser,Zone D,Mountain,,"Ceramic Tile,Vinyl,W/W Carpet"
FS,"$1,089,888 ",West Marina,Kalele Kai,1 Keahole Place 2502,"$1,040,000 ",5/20/2019,3,2.1,"1,998",2,589,Yes,5,1993,2/19/2019,48,"Above Average,Excellent",$261 ,"$1,212 ",Hahaione,Niu Valley,Kaiser,Zone AE,"Diamond Head,Marina/Canal,Ocean,Sunrise,Sunset",Marina,"Ceramic Tile,W/W Carpet"
FS,"$550,000 ",Hahaione-lower,Mariners Village 2,595 Hahaione Street A103,"$551,000 ",5/17/2019,2,2,"1,095",2,210,Yes,1,1972,3/22/2019,14,Excellent,$108 ,$789 ,Hahaione,Niu Valley,Kaiser,Zone D,"Garden,Mountain",,"Ceramic Tile,Vinyl"
FS,"$775,000 ",West Marina,Hale Ka Lae,,"$775,000 ",5/16/2019,3,2,"1,112",2,0,Yes,9,2016,5/1/2019,4,Excellent,$0 ,$610 ,Hahaione,Niu Valley,Kaiser,Zone D,Marina/Canal,Preservation,"Vinyl,W/W Carpet"
FS,"$712,500 ",West Marina,Lalea At Hawaii Kai ,7086 Hawaii Kai Drive 20,"$715,000 ",5/15/2019,3,2.1,"1,075",2,300,No,2,1996,3/15/2019,17,Average,$191 ,$422 ,Hahaione,Niu Valley,Kaiser,Zone D,None,Other,"Ceramic Tile,Marble/Granite,Vinyl,W/W Carpet"
FS,"$653,000 ",West Marina,Hale Ka Lae,,"$653,000 ",5/14/2019,2,2,793,1,436,Yes,1,2016,5/1/2019,7,Excellent,$0 ,$479 ,Hahaione,Niu Valley,Kaiser,Zone D,Garden,Preservation,"Vinyl,W/W Carpet"
FS,"$644,500 ",West Marina,Hale Ka Lae,7000 Hawaii Kai Drive PH201,"$644,500 ",5/10/2019,2,2,730,2,0,Yes,10,2016,4/4/2019,0,Above Average,$0 ,$409 ,Hahaione,Niu Valley,Kaiser,Zone D,"Coastline,Marina/Canal,Ocean",Preservation,"Vinyl,W/W Carpet"
FS,"$735,000 ",West Marina,Nanea Kai,7018 Hawaii Kai Drive 307,"$730,000 ",5/9/2019,3,2.1,"1,582",2,80,Yes,1,2003,2/8/2019,62,"Above Average,Excellent",$193 ,$485 ,,,,Zone D,Mountain,,"Ceramic Tile,Hardwood,W/W Carpet"
FS,"$849,000 ",West Marina,Moana Kai,7012 Hawaii Kai Drive 503,"$800,000 ",5/9/2019,3,2.1,"1,651",2,39,Yes,3,2005,1/25/2019,62,"Above Average,Excellent",$205 ,$430 ,,,,Zone D,Mountain,,"Laminate,Vinyl"
FS,"$779,000 ",West Marina,Hale Ka Lae,,"$779,000 ",5/7/2019,3,2,"1,145",2,0,Yes,10,2016,2/10/2019,4,Excellent,$0 ,$641 ,Hahaione,Niu Valley,Kaiser,Zone D,"Coastline,Diamond Head,Garden,Marina/Canal,Ocean","Other,Preservation","Vinyl,W/W Carpet"
FS,"$631,000 ",West Marina,Hale Ka Lae,,"$631,000 ",5/6/2019,2,2,730,2,0,Yes,9,2016,5/1/2019,4,Above Average,$0 ,$409 ,Hahaione,Niu Valley,Kaiser,Zone D,"Coastline,Marina/Canal,Mountain,Ocean",Preservation,"Vinyl,W/W Carpet"
FS,"$569,000 ",West Marina,Hale Ka Lae,,"$569,000 ",5/3/2019,2,2,691,2,0,Yes,3,2016,4/1/2019,32,Excellent,$0 ,$387 ,Hahaione,Niu Valley,Kaiser,Zone D,None,,"Vinyl,W/W Carpet"
FS,"$729,000 ",West Marina,Hale Ka Lae,7000 Hawaii Kai Drive 2709,"$729,000 ",5/3/2019,2,2,"1,145",2,0,Yes,7,2016,5/1/2019,2,Excellent,$0 ,$642 ,,,,Zone X,"Garden,Mountain",,"Laminate,W/W Carpet"
FS,"$611,000 ",West Marina,Hale Ka Lae,,"$611,000 ",5/2/2019,2,2,783,2,0,Yes,9,2016,5/1/2019,1,Excellent,$0 ,$438 ,Hahaione,Niu Valley,Kaiser,Zone D,None,"Other,Preservation","Vinyl,W/W Carpet"
FS,"$623,000 ",West Marina,Hale Ka Lae,7000 Hawaii Kai Drive 3411,"$623,000 ",5/2/2019,3,2,"1,023",2,0,Yes,4,2016,4/27/2019,0,Excellent,$0 ,$573 ,Hahaione,Niu Valley,Kaiser,Zone D,None,Preservation,"Vinyl,W/W Carpet"
FS,"$475,000 ",West Marina,Esplanade,500 Lunalilo Home Road 33F,"$465,000 ",5/1/2019,1,1,874,1,0,Yes,3,1973,2/16/2019,26,Excellent,$96 ,$552 ,Koko Head,Niu Valley,Kaiser,Zone AE,Garden,,"Laminate,W/W Carpet"
FS,"$613,000 ",West Marina,Hale Ka Lae,,"$613,000 ",5/1/2019,2,2,783,2,0,Yes,10,2016,4/29/2019,2,Excellent,$0 ,$438 ,,,,Zone D,None,Preservation,"Vinyl,W/W Carpet"
FS,"$615,000 ",West Marina,Lalea At Hawaii Kai ,7182 Hawaii Kai Drive 239,"$618,000 ",5/1/2019,2,1,850,2,0,Yes,2,1999,10/29/2018,104,Excellent,$57 ,$324 ,Hahaione,Niu Valley,Kaiser,Zone D,Mountain,Other,"Vinyl,W/W Carpet"
FS,"$674,500 ",West Marina,Hale Ka Lae,,"$674,500 ",4/30/2019,3,2,"1,024",2,0,Yes,10,2016,4/27/2019,3,Excellent,$0 ,$573 ,Hahaione,Niu Valley,Kaiser,Zone D,None,Preservation,"Vinyl,W/W Carpet"
FS,"$975,000 ",West Marina,Hawaii Kai Condo Lot,407 Kawaihae Street A,"$975,000 ",4/30/2019,3,2.1,"1,754",2,0,No,1,1964,1/25/2019,20,Above Average,$248 ,$0 ,Hahaione,Niu Valley,Kaiser,Zone D,"Marina/Canal,Mountain","Marina,Waterfront","Ceramic Tile,W/W Carpet"
FS,"$1,795,000 ",West Marina,Kalele Kai,1 Keahole Place 1402,"$1,755,000 ",4/29/2019,3,2.1,"1,998",2,589,Yes,4,1993,3/5/2019,18,Excellent,$295 ,"$1,212 ",,,,Zone AE,"Marina/Canal,Mountain,Ocean,Sunrise",Marina,"Ceramic Tile,Hardwood,W/W Carpet"
FS,"$759,000 ",West Marina,Hale Ka Lae,7000 Hawaii Kai Drive PH314,"$759,000 ",4/26/2019,3,2,"1,145",2,0,Yes,10,2016,3/15/2019,1,Excellent,$0 ,$641 ,Hahaione,Niu Valley,Kaiser,Zone D,"Coastline,Diamond Head,Marina/Canal,Ocean",,"Vinyl,W/W Carpet"
FS,"$552,000 ",West Marina,Hale Ka Lae,,"$552,000 ",4/25/2019,2,2,730,1,0,Yes,3,2016,4/25/2019,0,Excellent,$0 ,$409 ,Hahaione,Niu Valley,Kaiser,Zone D,Garden,Preservation,"Vinyl,W/W Carpet"
FS,"$505,000 ",Hahaione-lower,Mariners Village 2,595 Hahaione Street A101,"$486,000 ",4/24/2019,2,2,"1,095",2,210,Yes,1,1972,1/14/2019,58,"Average,Fair",$108 ,$789 ,,,,Zone D,Mountain,,"Vinyl,W/W Carpet"
FS,"$579,000 ",Hahaione-lower,Mauna Luan,521 Hahaione Street 2/4K,"$560,000 ",4/23/2019,2,2,"1,185",2,0,No,4,1975,2/6/2019,34,Above Average,$164 ,$796 ,,,,Zone D,"Coastline,Ocean",,"Ceramic Tile,Laminate,Other"
FS,"$980,000 ",West Marina,Koko Isle,401 Koko Isle Circle 901,"$980,000 ",4/22/2019,2,1.1,"1,098",2,0,Yes,1,1968,3/6/2019,9,Above Average,$178 ,$747 ,,,,Zone AE,"Marina/Canal,Mountain,Sunrise,Sunset",Marina,"Vinyl,W/W Carpet"
FS,"$515,000 ",Hahaione-lower,Plaza Hawaii Kai,6770 Hawaii Kai Drive 2,"$525,000 ",4/18/2019,1,1,753,1,576,Yes,1,1974,3/15/2019,5,Above Average,$30 ,$632 ,Hahaione,Niu Valley,Kaiser,Zone D,Garden,,"Ceramic Tile,Hardwood"
FS,"$529,000 ",West Marina,Colony At The Penins,520 Lunalilo Home Road 7413,"$520,000 ",4/18/2019,1,1,904,2,82,Yes,4,2005,1/25/2019,37,Excellent,$124 ,$581 ,Koko Head,Niu Valley,Kaiser,Zone A,None,Other,"Ceramic Tile,Laminate,W/W Carpet"
FS,"$535,000 ",West Marina,Colony At The Penins,520 Lunalilo Home Road 7428,"$530,000 ",4/18/2019,1,1,904,2,82,Yes,4,2005,1/23/2019,48,"Above Average,Excellent",$151 ,$587 ,,,,Zone AE,None,,"Laminate,W/W Carpet"
FS,"$865,000 ",West Marina,Koko Isle,414 Koko Isle Circle 414,"$840,000 ",4/15/2019,4,3,"1,918",2,720,Yes,1,1968,11/8/2018,106,Excellent,$217 ,$784 ,Koko Head,Niu Valley,Kaiser,Zone AE,Garden,,Ceramic Tile
FS,"$975,000 ",West Marina,Kuapa Isle,347 Opihikao Place 411,"$975,000 ",4/15/2019,3,2,"1,250",2,420,Yes,1,1970,2/22/2019,12,Above Average,$279 ,$665 ,Hahaione,Niu Valley,Kaiser,Zone AE,"Marina/Canal,Mountain",Marina,"Ceramic Tile,W/W Carpet"
FS,"$600,000 ",Hahaione-lower,Mauna Luan,511 Hahaione Street 1/20D,"$600,000 ",4/5/2019,2,2,"1,303",2,0,No,20,1975,1/30/2019,31,Excellent,$132 ,$815 ,,,,Zone D,"Coastline,Garden,Marina/Canal,Mountain,Ocean,Sunset",Other,"Ceramic Tile,W/W Carpet"
FS,"$735,000 ",West Marina,Hale Ka Lae,7000 Hawaii Kai Drive 3218,"$735,000 ",4/1/2019,3,2,"1,112",2,0,Yes,2,2016,4/27/2019,0,Excellent,$0 ,$610 ,,,,Zone D,Garden,Preservation,"Vinyl,W/W Carpet"
FS,"$598,000 ",West Marina,Mt Terrace,250 Kawaihae Street 6F,"$598,000 ",3/29/2019,2,2,"1,644",2,0,No,6,1974,8/28/2018,153,Above Average,$196 ,"$1,415 ",Hahaione,Niu Valley,Kaiser,Zone AE,"Marina/Canal,Mountain,Ocean,Sunrise",Other,"Laminate,Marble/Granite"
FS,"$625,000 ",Hahaione-lower,Mauna Luan,501 Hahaione Street 1/10L,"$612,500 ",3/29/2019,2,2,"1,302",2,0,No,10,1975,10/18/2018,111,Excellent,$163 ,$815 ,Hahaione,Niu Valley,Kaiser,Zone D,"Coastline,Mountain,Ocean",Other,"Ceramic Tile,W/W Carpet"
FS,"$650,000 ",Mariners Valley,Mariners Village 3,1144 Kumukumu Street B,"$650,000 ",3/22/2019,3,2.1,"1,356",2,280,Yes,1,1973,2/14/2019,6,Excellent,$172 ,$457 ,,,,Zone D,"Mountain,Sunrise,Sunset",Other,"Vinyl,W/W Carpet"
FS,"$649,900 ",West Marina,Kaimala Marina,444 Lunalilo Home Road 803,"$633,000 ",3/20/2019,3,2.1,"1,282",2,344,Yes,1,1972,12/13/2018,50,"Above Average,Excellent",$169 ,$721 ,Koko Head,Niu Valley,Kaiser,Zone AE,Garden,Marina,"Ceramic Tile,Laminate,Marble/Granite"
FS,"$575,000 ",Mariners Valley,Mariners Village 3,1131 Wainiha Street B,"$575,000 ",3/15/2019,3,1.1,"1,134",2,504,Yes,2,1972,7/18/2018,201,Above Average,$162 ,$456 ,,,,Zone D,Mountain,Other,"Ceramic Tile,W/W Carpet"
FS,"$680,000 ",West Marina,Lalea At Hawaii Kai ,7130 Hawaii Kai Drive 112,"$665,000 ",3/15/2019,2,2,908,2,400,No,1,1997,1/21/2019,8,Above Average,$142 ,$340 ,,,,Zone D,Mountain,,"Ceramic Tile,Laminate"
FS,"$865,000 ",West Marina,Koko Isle,402 Koko Isle Circle 1801,"$870,000 ",3/13/2019,3,2,"1,598",2,300,Yes,2,1968,1/7/2019,25,Excellent,$230 ,$784 ,Koko Head,Niu Valley,Kaiser,Zone AE,"Garden,Marina/Canal,Mountain,Sunrise,Sunset","Marina,Other","Ceramic Tile,W/W Carpet"
FS,"$650,000 ",West Marina,Kaimala Marina,444 Lunalilo Home Road 402,"$648,000 ",3/11/2019,3,2.1,"1,282",2,364,Yes,1,1972,1/8/2019,8,Excellent,$135 ,$721 ,Koko Head,Niu Valley,Kaiser,Zone AE,Garden,Marina,"Ceramic Tile,Laminate,W/W Carpet"
FS,"$1,050,000 ",West Marina,Esplanade,500 Lunalilo Home Road 27F,"$980,000 ",3/8/2019,3,3,"1,787",3,129,Yes,7,1973,1/16/2019,10,Excellent,$240 ,"$1,460 ",Koko Head,Niu Valley,Kaiser,Zone AE,"Coastline,Diamond Head,Mountain,Sunrise,Sunset",Marina,"Marble/Granite,Vinyl,W/W Carpet"
FS,"$770,000 ",West Marina,Hawaii Kai Cp Lot5 F,6228 Milolii Place B,"$640,000 ",3/1/2019,2,1,"1,342",1,0,No,1,1964,11/16/2018,63,Above Average,$191 ,$300 ,,,,Zone AE,"Marina/Canal,Mountain",Marina,W/W Carpet
FS,"$1,065,000 ",West Marina,Kuapa Isle,425 Opihikao Place 212,"$1,037,500 ",2/28/2019,3,2,"1,250",2,420,Yes,1,1970,10/19/2018,76,Above Average,$273 ,$640 ,Hahaione,Niu Valley,Kaiser,Zone AE,"Marina/Canal,Mountain","Marina,Stream/Canal,Waterfront",Ceramic Tile
FS,"$549,000 ",Hahaione-lower,Mauna Luan,531 Hahaione Street 2/4D,"$535,000 ",2/22/2019,2,2,"1,211",2,0,No,4,1975,11/15/2018,57,Above Average,$150 ,$738 ,Hahaione,Niu Valley,Kaiser,Zone D,Garden,,"Vinyl,W/W Carpet"
FS,"$549,900 ",Mariners Valley,Mariners Village 3,1101 Kumukumu Street A,"$544,900 ",2/22/2019,2,2.1,"1,200",2,180,Yes,1,1973,7/16/2018,174,Excellent,$168 ,$457 ,,,,Zone D,"City,Garden,Mountain,Sunrise",,"Laminate,Vinyl,W/W Carpet"
FS,"$588,500 ",Mariners Valley,Mariners Village 3,1080 Awawamalu Street D,"$572,500 ",2/21/2019,3,1.1,"1,134",2,0,Yes,1,1972,11/30/2018,48,Average,$169 ,$457 ,Kamiloiki,Niu Valley,Kaiser,Zone D,None,,W/W Carpet
FS,"$739,000 ",West Marina,Lalea At Hawaii Kai ,7160 Hawaii Kai Drive 226,"$739,000 ",2/20/2019,3,2.1,"1,158",2,200,Yes,1,1998,1/15/2019,7,Excellent,$176 ,$442 ,,,,Zone D,None,,"Ceramic Tile,W/W Carpet"
FS,"$789,000 ",West Marina,Kalele Kai,1 Keahole Place 2503,"$760,000 ",2/13/2019,2,2,"1,427",2,265,Yes,5,1993,10/4/2018,95,"Above Average,Excellent",$197 ,$850 ,Hahaione,Niu Valley,Kaiser,Zone AE,"City,Mountain",Other,"Ceramic Tile,Laminate"
FS,"$838,000 ",West Marina,Peninsula At Hawaii ,580 Lunalilo Home Road B-314,"$835,000 ",2/12/2019,3,2.1,"1,328",2,0,Yes,2,2004,1/3/2019,5,Excellent,$221 ,$554 ,Koko Head,Niu Valley,Kaiser,Zone AE,"Mountain,Sunrise",,"Ceramic Tile,Laminate,Other,W/W Carpet"
FS,"$673,500 ",Mariners Valley,Mariners Village 3,1094 Kumukumu Street A,"$668,000 ",2/4/2019,3,2.1,"1,356",2,0,Yes,2,1972,8/17/2018,45,Above Average,$159 ,$457 ,Kamiloiki,Niu Valley,Kaiser,Zone D,Mountain,Other,"Other,W/W Carpet"
FS,"$675,000 ",West Marina,Esplanade,500 Lunalilo Home Road 23K,"$665,000 ",2/4/2019,2,2,"1,083",2,119,Yes,3,1973,12/14/2018,33,Excellent,$181 ,$872 ,,,,Zone AE,"Garden,Marina/Canal",Marina,"Ceramic Tile,Vinyl,W/W Carpet"
